종가,시가,고가,저가,거래량,변동
50400.0,50700.0,50800.0,50200.0,8959435.0,주가 하락 또는 변동 없음
50400.0,51000.0,51400.0,50300.0,10304777.0,주가 하락 또는 변동 없음
51200.0,50600.0,51200.0,50400.0,8467846.0,주가 상승
52300.0,51700.0,52300.0,51400.0,13012411.0,주가 상승
52700.0,52400.0,52700.0,52100.0,10581034.0,주가 상승
53300.0,52900.0,53500.0,52700.0,14361133.0,주가 상승
52900.0,53400.0,53400.0,52400.0,9257116.0,주가 하락 또는 변동 없음
52100.0,53200.0,53300.0,52000.0,11603290.0,주가 하락 또는 변동 없음
51600.0,52200.0,52200.0,51400.0,8185952.0,주가 하락 또는 변동 없음
52600.0,51800.0,52600.0,51600.0,6576148.0,주가 상승
52500.0,52500.0,52500.0,52000.0,6225196.0,주가 하락 또는 변동 없음
52800.0,51900.0,52800.0,51900.0,12010018.0,주가 상승
53700.0,52900.0,53700.0,52600.0,9703360.0,주가 상승
53500.0,53600.0,53800.0,53200.0,7746554.0,주가 하락 또는 변동 없음
53500.0,53200.0,53500.0,52700.0,8907177.0,주가 하락 또는 변동 없음
52000.0,53400.0,53400.0,52000.0,12560070.0,주가 하락 또는 변동 없음
51000.0,51600.0,52100.0,50600.0,14298646.0,주가 하락 또는 변동 없음
51600.0,51000.0,51600.0,50900.0,8478310.0,주가 상승
51800.0,52200.0,52600.0,51700.0,9050625.0,주가 상승
51800.0,51900.0,52900.0,51800.0,27372226.0,주가 하락 또는 변동 없음
52200.0,51800.0,52300.0,51600.0,7546261.0,주가 상승
51300.0,51900.0,52100.0,51300.0,6833885.0,주가 하락 또는 변동 없음
50300.0,51200.0,51400.0,50200.0,11179334.0,주가 하락 또는 변동 없음
50400.0,50900.0,51300.0,50400.0,18877252.0,주가 상승
49900.0,49800.0,50300.0,49500.0,12059812.0,주가 하락 또는 변동 없음
49450.0,49600.0,49850.0,49000.0,13246549.0,주가 하락 또는 변동 없음
49500.0,50200.0,50400.0,49500.0,10449715.0,주가 상승
50400.0,50100.0,50900.0,49950.0,11414563.0,주가 상승
51200.0,50900.0,51400.0,50700.0,8470627.0,주가 상승
51500.0,51000.0,51600.0,50700.0,6882771.0,주가 상승
51900.0,51500.0,52200.0,51400.0,11379521.0,주가 상승
53300.0,53000.0,53300.0,52700.0,29178697.0,주가 상승
54700.0,54500.0,54800.0,53900.0,18120261.0,주가 상승
54700.0,54500.0,54900.0,54300.0,11512405.0,주가 하락 또는 변동 없음
56700.0,55800.0,56700.0,55400.0,19358433.0,주가 상승
56300.0,56700.0,57200.0,56000.0,15558208.0,주가 하락 또는 변동 없음
56000.0,57000.0,57300.0,55500.0,14180520.0,주가 하락 또는 변동 없음
56000.0,56100.0,56500.0,55600.0,12095519.0,주가 하락 또는 변동 없음
55500.0,56100.0,56400.0,55100.0,9839252.0,주가 하락 또는 변동 없음
55000.0,55600.0,55700.0,54800.0,11868463.0,주가 하락 또는 변동 없음
55400.0,54700.0,55400.0,54400.0,9645034.0,주가 상승
56500.0,55700.0,56900.0,55500.0,12313056.0,주가 상승
55800.0,56200.0,56600.0,55700.0,8356767.0,주가 하락 또는 변동 없음
55200.0,55500.0,56000.0,55000.0,12993228.0,주가 하락 또는 변동 없음
55500.0,56000.0,56600.0,54900.0,15422255.0,주가 상승
55500.0,54900.0,55600.0,54600.0,10278951.0,주가 하락 또는 변동 없음
55800.0,55700.0,56400.0,55600.0,10009778.0,주가 상승
56800.0,56200.0,57400.0,55900.0,23501171.0,주가 상승
58600.0,58400.0,58600.0,57400.0,24102579.0,주가 상승
59500.0,58800.0,59700.0,58300.0,16000170.0,주가 상승
60000.0,59600.0,60000.0,59100.0,11359139.0,주가 상승
60000.0,60400.0,61000.0,59900.0,16906295.0,주가 하락 또는 변동 없음
59000.0,59500.0,59600.0,58900.0,14300928.0,주가 하락 또는 변동 없음
60700.0,59100.0,60700.0,59000.0,14381774.0,주가 상승
61300.0,61900.0,62000.0,61000.0,16025661.0,주가 상승
62400.0,62000.0,62800.0,61700.0,12528855.0,주가 상승
61400.0,62000.0,62400.0,61200.0,11142693.0,주가 하락 또는 변동 없음
62300.0,60500.0,62600.0,60400.0,15339565.0,주가 상승
